2.056336139240625693e-01 1.415602502507337768e+01
2.089178974683790213e-01 4.530761045199484194e+00
2.105600392405078403e-01 5.151149462697083514e+00
2.212339607594921709e-01 1.418021514309314490e+01
2.236971734177148063e-01 1.160747594213326472e+01
2.310868113924415546e-01 1.441071012194069567e+01
2.343710949366991647e-01 4.601665324906058174e+00
2.351921658227930090e-01 6.140893748441867750e+00
2.434028746835547319e-01 1.112658921186419292e+01
2.434028746835547319e-01 1.112658921186419292e+01
2.450450164556835508e-01 1.071321053280975910e+01
2.458660873417773673e-01 1.441186355803150576e+01
