# Tetrahedron method
       -1.5296520860        0.0000000000
       -1.4378729235        0.0000000000
       -1.3460937610        0.0000000000
       -1.2543145986        0.0000000000
       -1.1625354361        0.0000000000
       -1.0707562736        0.0000000000
       -0.9789771112        0.0000000000
       -0.8871979487        0.0000000000
       -0.7954187862        0.0000000000
       -0.7036396238        0.0000000000
       -0.6118604613        0.0000000000
       -0.5200812988        0.0000000000
       -0.4283021364        0.0000000000
       -0.3365229739        0.0000000000
       -0.2447438114        0.0000000000
       -0.1529646490        0.0000000000
       -0.0611854865        0.0000000000
        0.0305936760        0.0000054816
        0.1223728384        0.0000877061
        0.2141520009        0.0002685999
        0.3059311634        0.0005481631
        0.3977103258        0.0013373766
        0.4894894883        0.0020532861
        0.5812686508        0.0028893459
        0.6730478132        0.0042194464
        0.7648269757        0.0054166999
        0.8566061382        0.0068835310
        0.9483853006        0.0084801027
        1.0401644631        0.0103257921
        1.1319436256        0.0125501683
        1.2237227880        0.0148381440
        1.3155019505        0.0174909049
        1.4072811130        0.0203751656
        1.4990602755        0.0233392918
        1.5908394379        0.0271309300
        1.6826186004        0.0310127010
        1.7743977629        0.0353129809
        1.8661769253        0.0403309576
        1.9579560878        0.0455009803
        2.0497352503        0.0518114535
        2.1415144127        0.0587765208
        2.2332935752        0.0662693207
        2.3250727377        0.0754859671
        2.4168519001        0.0854996327
        2.5086310626        0.0978438284
        2.6004102251        0.1122460178
        2.6921893875        0.1294186045
        2.7839685500        0.1514138436
        2.8757477125        0.1790593993
        2.9675268749        0.2172079487
        3.0593060374        0.2693207818
        3.1510851999        0.3528850466
        3.2428643623        0.4821487562
        3.3346435248        0.5013848280
        3.4264226873        0.5252585012
        3.5182018497        0.5519403316
        3.6099810122        0.5830616653
        3.7017601747        0.6244889042
        3.7935393371        0.6747689127
        3.8853184996        0.7439985122
        3.9770976621        0.8795522909
        4.0688768245        1.2121970102
        4.1606559870        1.2612563448
        4.2524351495        0.9725491933
        4.3442143119        0.8322255747
        4.4359934744        0.7527660944
        4.5277726369        0.7063319833
        4.6195517993        0.6527964130
        4.7113309618        0.6243141328
        4.8031101243        0.5886251064
        4.8948892867        0.5650852432
        4.9866684492        0.5467627664
        5.0784476117        0.5233752807
        5.1702267741        0.5085017067
        5.2620059366        0.4975794300
        5.3537850991        0.4840826651
        5.4455642615        0.4828481062
        5.5373434240        0.4747454896
        5.6291225865        0.4819836666
        5.7209017489        0.4888954624
        5.8126809114        0.5321698247
        5.9044600739        0.5924385429
        5.9962392363        0.5671179468
        6.0880183988        0.4093495263
        6.1797975613        0.2311738708
        6.2715767237        0.0532321734
        6.3633558862        0.0558895922
        6.4551350487        0.0587395649
        6.5469142112        0.0614743821
        6.6386933736        0.0644462389
        6.7304725361        0.0678063896
        6.8222516986        0.0710061143
        6.9140308610        0.0743693399
        7.0058100235        0.0783328403
        7.0975891860        0.0821456484
        7.1893683484        0.0861604236
        7.2811475109        0.0907898012
        7.3729266734        0.0952580876
        7.4647058358        0.1000766725
        7.5564849983        0.1055573397
        7.6482641608        0.1108352587
        7.7400433232        0.1168643718
        7.8318224857        0.1232848429
        7.9236016482        0.1295447884
        8.0153808106        0.1371898211
        8.1071599731        0.1447803870
        8.1989391356        0.1527976686
        8.2907182980        0.1620779931
        8.3824974605        0.1711785216
        8.4742766230        0.1820120520
        8.5660557854        0.1931024117
        8.6578349479        0.2052099091
        8.7496141104        0.2189873524
        8.8413932728        0.2330476930
        8.9331724353        0.2503528882
        9.0249515978        0.2684668056
        9.1167307602        0.2902289928
        9.2085099227        0.3152996539
        9.3002890852        0.3465294101
        9.3920682476        0.3887363773
        9.4838474101        0.4567323139
        9.5756265726        0.6128988060
        9.6674057350        0.5046607607
        9.7591848975        0.4061037183
        9.8509640600        0.3527352312
        9.9427432224        0.3133789771
       10.0345223849        0.2809106160
       10.1263015474        0.2504366764
       10.2180807098        0.2222373862
       10.3098598723        0.1905739802
       10.4016390348        0.1684197494
       10.4934181972        0.1552483292
       10.5851973597        0.1489101321
       10.6769765222        0.1499316029
       10.7687556846        0.1550442466
       10.8605348471        0.1642834176
       10.9523140096        0.1991001793
       11.0440931720        0.2439781335
       11.1358723345        0.2639603431
       11.2276514970        0.2868691927
       11.3194306595        0.3013157289
       11.4112098219        0.3238959991
       11.5029889844        0.3412622580
       11.5947681469        0.3573470678
       11.6865473093        0.3788074448
       11.7783264718        0.3972623610
       11.8701056343        0.4119849075
       11.9618847967        0.4210003720
       12.0536639592        0.4228595039
       12.1454431217        0.4403708856
       12.2372222841        0.3629125321
       12.3290014466        0.3359450475
       12.4207806091        0.3186662260
       12.5125597715        0.3040344382
       12.6043389340        0.2914532099
       12.6961180965        0.2812977178
       12.7878972589        0.2711386592
       12.8796764214        0.2630635690
       12.9714555839        0.2548637131
       13.0632347463        0.2478805501
       13.1550139088        0.2415010694
       13.2467930713        0.2350590525
       13.3385722337        0.2303383940
       13.4303513962        0.2242403975
       13.5221305587        0.2211556976
       13.6139097211        0.2156208787
       13.7056888836        1.8295015779
       13.7974680461        2.5522708207
       13.8892472085        2.2719590355
       13.9810263710        2.1058327002
       14.0728055335        2.0127275528
       14.1645846959        1.9833927817
       14.2563638584        1.9892191720
       14.3481430209        2.0324991653
       14.4399221833        2.0356185152
       14.5317013458        1.9692839006
       14.6234805083        0.9719495027
       14.7152596707        0.5828984050
       14.8070388332        0.4155554822
       14.8988179957        0.3165082781
       14.9905971581        0.2461433206
       15.0823763206        0.1869592846
       15.1741554831        0.1316222596
       15.2659346455        0.0609081333
