# K
3.263598326359999913e-01 1.441186355803150576e+01
3.277545327754999849e-01 1.071321053280975910e+01
3.305439330543999965e-01 1.112658921186419292e+01
3.305439330543999965e-01 1.112658921186419292e+01
3.444909344491000058e-01 6.140893748441867750e+00
3.458856345885999994e-01 4.601665324906058174e+00
3.514644351464000227e-01 1.441071012194069567e+01
3.640167364017000140e-01 1.160747594213326472e+01
3.682008368201000192e-01 1.418021514309314490e+01
3.863319386331999783e-01 5.151149462697083514e+00
3.891213389120999899e-01 4.530761045199484194e+00
3.947001394699999888e-01 1.415602502507337768e+01
# X
