# X
4.337517433752000051e-01 4.574655696439758223e+00
4.351464435146000231e-01 1.224744073328738736e+01
4.574616457462000185e-01 4.573566340132436459e+00
4.881450488144999933e-01 4.526211380619733049e+00
4.895397489539999869e-01 1.339357172903467408e+01
4.951185495118999857e-01 1.047579493741435108e+01
4.951185495118999857e-01 1.373790444208872508e+01
5.174337517434000056e-01 4.478920500887520362e+00
5.467224546722000422e-01 4.385684416867371205e+00
5.536959553696000347e-01 8.428541995576191326e+00
5.536959553696000347e-01 1.453925416630353062e+01
5.550906555090999728e-01 1.401082023717428804e+01
5.801952580195000042e-01 4.016584867748147047e+00
6.066945606695000048e-01 3.601860513255432661e+00
6.108786610879000101e-01 6.082709305630446650e+00
6.164574616457000333e-01 1.511068562971619045e+01
6.178521617851999714e-01 1.451333389414754826e+01
6.401673640167000467e-01 2.957089738389698574e+00
6.666666666667000474e-01 3.323433856846776724e+00
6.708507670851000526e-01 2.151638908071770384e+00
6.736401673640000087e-01 1.522292136934746054e+01
6.750348675034999468e-01 1.549852851531258047e+01
7.043235704324000146e-01 1.254169509605593813e+00
7.322175732218000332e-01 1.549590124421651183e+01
# G
