# Gamma 0.000000000000E0	
# K 3.221757322176E-1	
# X 4.323570432357E-1	
# Gamma 7.350069735007E-1	
# L 9.986052998605E-1
# Gamma
5.160390516039E-2	4.130236137162E1
4.741980474198E-2	5.203674313471E1
9.065550906555E-2	7.649155431582E1
9.065550906555E-2	1.002463435879E2
8.926080892608E-2	1.508231937030E2
1.338912133891E-1	1.407931087920E2
1.311018131102E-1	1.070809086391E2
1.785216178522E-1	1.261653227315E2
1.715481171548E-1	1.713867380582E2
2.203626220363E-1	1.981318499281E2
1.827057182706E-1	2.487642743017E2
2.231520223152E-1	2.824187627246E2
2.594142259414E-1	2.195279394241E2
2.608089260809E-1	1.490277176614E2
2.175732217573E-1	1.414311440282E2
3.012552301255E-1	1.520308650881E2
3.458856345886E-1	1.534950330507E2
3.040446304045E-1	2.179269732870E2
3.444909344491E-1	2.048381666907E2
3.863319386332E-1	1.718238509755E2
3.891213389121E-1	1.511299208601E2
4.337517433752E-1	1.525940888226E2
4.574616457462E-1	1.525577518075E2
4.881450488145E-1	1.509781603852E2
5.174337517434E-1	1.494007064343E2
5.467224546722E-1	1.462906854337E2
5.801952580195E-1	1.339788497197E2
6.066945606695E-1	1.201451343134E2
6.401673640167E-1	9.863789630057E1
6.708507670851E-1	7.177094855641E1
7.043235704324E-1	4.183459176967E1
6.666666666667E-1	1.108578207410E2
6.108786610879E-1	2.028973425886E2
5.536959553696E-1	2.811458984594E2
4.951185495119E-1	3.494349059780E2
4.351464435146E-1	4.085306486692E2
3.640167364017E-1	3.871837210172E2
3.305439330544E-1	3.711430663097E2
3.305439330544E-1	3.711430663097E2
3.277545327755E-1	3.573542378044E2
2.203626220363E-1	4.264843403496E2
1.854951185495E-1	4.564228346078E2
9.483960948396E-2	4.979410805987E2
1.799163179916E-1	4.886152925397E2
2.231520223152E-1	4.824187627246E2
2.217573221757E-1	4.724592143724E2
3.110181311018E-1	4.861155196460E2
3.263598326360E-1	4.807280227854E2
3.514644351464E-1	4.806895482988E2
3.682008368201E-1	4.730010633921E2
3.947001394700E-1	4.721941679091E2
4.895397489540E-1	4.467614635267E2
4.951185495119E-1	4.582471665144E2
5.550906555091E-1	4.673506575397E2
5.536959553696E-1	4.849773160839E2
6.164574616457E-1	5.040382179900E2
6.178521617852E-1	4.841127088710E2
6.750348675035E-1	5.169752641113E2
6.736401673640E-1	5.077819992839E2
7.322175732218E-1	5.168876277807E2
7.866108786611E-1	5.175705499180E2
8.396094839609E-1	5.075276401781E2
8.382147838215E-1	4.945029577262E2
8.940027894003E-1	4.944174588670E2
9.442119944212E-1	4.935742263689E2
1.000000000000E0	4.881247428355E2
9.972105997211E-1	4.183972170121E2
9.428172942817E-1	4.437679347216E2
8.967921896792E-1	4.721909617019E2
9.958158995816E-1	3.785526111886E2
9.456066945607E-1	3.380165333419E2
8.898186889819E-1	2.676039479098E2
8.340306834031E-1	1.895285272287E2
7.852161785216E-1	1.045458674661E2
7.852161785216E-1	5.473743834731E1
8.368200836820E-1	8.990739404821E1
8.884239888424E-1	1.112842463008E2
9.442119944212E-1	1.173290156409E2
9.958158995816E-1	1.157173621464E2 
