space_group,n_formula,material,n_primitive,mp_id,sigmaA_300,sigmaA_500,sigmaA_700,source,kappa_exp,bandgap,kappa_bte,ref_exp,ref_bte,kappa_aiGK,comment,use
216,2,ZnSe,2,mp-1190,0.23,0.29,0.34,Ramprasad,19,1.23008569,,,,,,y
216,2,ZnTe,2,mp-2176,0.25,0.32,0.37,Ramprasad,18,1.22881793,,,,,,y
216,3,LiAsMg,3,mp-12558,0.27,0.36,0.43,ICSD_exp,,1.26358049,,,,,,y
216,3,LiAsZn,3,mp-9124,0.26,0.34,0.4,ICSD_exp,,0.71544704,,,,,,y
216,3,LiNZn,3,mp-7575,0.25,0.32,0.38,ICSD_exp,,0.72754634,,,,,,y
216,3,ZnPLi,3,mp-10182,0.25,0.32,0.38,ICSD_exp,,1.17946793,,,,,,y
221,2,CsBr,2,mp-22906,0.42,0.53,0.62,Ramprasad,0.94,4.41293386,,Gerlich,,,,y
221,2,CsCl,2,mp-22865,0.39,0.51,0.6,Ramprasad,1,5.20653484,,"Gerlich, Sist",,,,y
221,2,CsI,2,mp-1056920,0.4,0.51,0.6,Ramprasad,1.1,3.81169959,,Gerlich,,,,y
221,5,BaLiF3,5,mp-10250,0.27,,,Roekeghem,,6.23118081,2.21,,,y,,y
221,5,CsCaF3,5,mp-7104,0.26,,,Roekeghem,,6.895,,,,,,y
221,5,CsCdF3,5,mp-8399,0.32,,,Roekeghem,,3.308,,,,,,y
221,5,KMgF3,5,mp-3448,0.24,,,Roekeghem,10?,7.02234075,8.2,Martin,Roekeghem,4.6 +/- 1.2,,y
221,5,KZnF3,5,mp-5878,0.32,,,Roekeghem,5.5,3.72440695,4.15,Suemune,Roekeghem,3.5 +/- 1.6,,y
221,5,RbMgF3,5,mp-8402,0.23,,,Roekeghem,,6.99361625,4.5,,Roekeghem,1.4 +/- 1.9,,y
221,5,RbZnF3,,mp-xxxx,0.3,,,Roekeghem,,3.32870099,2.46,,Roekeghem,y,,y
221,5,SrTiO3,5,mp-5229,0.28,,,Toberer,10.5,1.76179472,6.4-8.5,"Muta, Popuri","Roekeghem, Tadano",,,y
225,2,AgBr,2,mp-23231,0.48,0.59,0.66,Ramprasad,1.1,0.49609687,,Kamram,,0.5 +/- 0.1,,y
225,2,AgCl,2,mp-22922,0.5,0.62,0.7,Ramprasad,0.9-1,0.72525839,0.67,"Ross, Ashqari",aapl,0.6 +/- 0.1,,y
225,2,BaO,2,mp-1342,0.44,0.57,0.66,Ramprasad,2.3,1.81325293,2.99,MorelliSlack,aapl,2.0 +/- 0.1,,y
225,2,BaS,2,mp-1500,0.25,0.34,0.4,ICSD_exp,,2.04849231,,,,,,y
225,2,BaSe,2,mp-1253,0.23,0.3,0.37,ICSD_exp,,1.90755009,,,,,,y
225,2,BaTe,2,mp-1000,0.22,0.28,0.32,ICSD_exp,,1.55286218,,,,,,y
225,2,CaO,2,mp-2605,0.2,0.26,0.31,AAPL,27,3.42399511,20.4,MorelliSlack,aapl,18.6 +/- 9.3,,y
225,2,CaTe,2,mp-1519,0.23,0.3,0.35,ICSD_exp,,1.36099124,,,,,,y
225,2,CsF,2,mp-1784,0.42,0.53,0.61,ICSD_exp,,5.34048722,,,,,,y
225,2,KBr,2,mp-23251,0.41,0.53,0.62,Ramprasad,2.8-3.4,4.33223089,2.38,"Andersson, MorelliSlack",aapl,,,y
225,2,KCl,2,mp-23193,0.43,0.56,0.65,Ramprasad,6.5-7.1,5.01389008,3.77,"Andersson, MorelliSlack",aapl,,,y
225,2,KF,2,mp-463,0.41,0.54,0.63,Ramprasad,6.43,6.03610536,,MorelliSlack,,,,y
225,2,KH,2,mp-24084,0.35,0.46,0.54,ICSD_exp,,3.22984093,,,,,,y
225,2,KI,2,mp-22898,0.39,0.5,0.59,Ramprasad,1.96-2.6,3.84587491,1.46,"Andersson, MorelliSlack",aapl,,,y
225,2,LiBr,2,mp-23259,0.4,0.52,0.61,Ramprasad,1.83,4.98314589,,Hakansson,,,,y
225,2,LiCl,2,mp-22905,0.38,0.5,0.59,ICSD_exp,,6.27972455,,,,,,y
225,2,LiF,2,mp-1138,0.3,0.4,0.49,Ramprasad,17.6,8.96504122,,,,,,y
