space_group,n_formula,material,sigma,sigma_std,sigma_max,sigma_err,simulation_time,kappa,kappa_err
56,5,Sb2O3,0.2922317026775143,0.014255468674425037,0.44486827843939286,0.005819770716095173,23477.333333333347,1.8825616699126568,0.428807774099114
61,2,ZnSb,0.3366960302614201,0.006457964251345106,0.5245257890643612,0.002888089412454239,26665.600000000042,0.6557931232949208,0.1498910544645628
62,2,SnSe,0.3394303016410573,0.008368632388552944,0.5340664956250716,0.003742566179902163,28000.00000000004,0.5679173213533976,0.21447392292498133
62,3,BaSi2,0.5879065252875274,0.1602491384766047,0.8291502070628329,0.07166559339389304,29249.600000000046,0.3051723038101665,0.06923344538039214
62,4,CuSbSe2,0.38692540122250874,0.011301732117177447,0.7289597783986694,0.005054288255500278,27486.40000000004,0.5434780255263134,0.18917267123024306
62,5,KCaF3,0.5192204759522874,0.141418133770084,1.3914995629944926,0.06324411207221328,30000.000000000047,1.7742433158625879,0.5675084177746339
62,5,KCdF3,1.3237187232550742,0.22130439962044912,2.1711537258952975,0.09897033625422057,30000.000000000047,1.4339717984710032,0.3028196765400542
122,4,AgAlS2,0.32239943627363893,0.012361671472775245,0.45680853872835453,0.005528307545729078,5508.000000000007,0.6018682232714354,0.2526459405696792
122,4,AgAlSe2,0.3578840768153783,0.013458680943302588,0.4738445615869295,0.006018905095341116,3519.2000000000053,0.06747025113134346,0.020611184736275472
122,4,AgAlTe2,0.31960373292444044,0.009648725330930818,0.43311996579502554,0.004315041147237093,3622.400000000005,0.11710306180844868,0.05625277311957113
122,4,AgGaS2,0.3210992390379721,0.01031631578625972,0.45402956979291287,0.004613596675086185,9002.400000000012,0.29166287160320764,0.07301194850638623
122,4,AgGaSe2,0.3446059011123751,0.010460813621611623,0.5009884304647702,0.00467821807157587,3538.400000000005,0.12514782471574062,0.05873493966998669
122,4,AlCuS2,,,,,,,
122,4,AlCuSe2,,,,,,,
122,4,AlLiTe2,,,,,,,
122,4,CuInS2,,,,,,,
122,4,GaLiTe2,,,,,,,
122,4,InLiTe2,,,,,,,
160,2,InSe,,,,,,,
164,5,Mg3Sb2,0.3260258818785814,0.003558445101390206,0.4848336039127801,0.0015913850281819263,30000.000000000047,0.9226555736125065,0.25770233572298884
166,4,Ba2BrN,0.376600219630551,0.005433359900194643,0.4953474554897605,0.0024298724166113388,25824.000000000036,1.2841401768180603,0.36594367481869383
166,4,Ba2ClP,0.30173353060257496,0.0019520959415984687,0.3734840351155824,0.0008730038448031271,27960.00000000004,0.6894902886598362,0.3793293787149332
166,4,CuGaO2,0.21508672718710914,0.005650948336245088,0.30650491279547226,0.002527180923436671,26066.400000000038,7.167758726442372,2.576044580017818
166,4,CuScO2,0.25716105159942415,0.003150061334455215,0.34749727236933414,0.001408750255427112,26195.200000000037,11.6499065376726,3.3642375001489118
166,4,InLiSe2,0.3984155791327255,0.006188693717814288,0.5683246309746874,0.00276766796899173,25612.80000000004,1.3305053782481744,0.5386162619901532
166,4,InNaO2,0.23100128349154336,0.0033027302336803583,0.30485361179245757,0.0014770258627706092,22482.40000000003,5.614399850336546,2.2121360970780874
166,4,InNaS2,0.2991387095450184,0.005416653329087129,0.41867735065396944,0.0024224010108778718,30000.000000000047,2.019354813167989,1.1766224767520912
166,4,InNaSe2,0.33502634208764503,0.0031685061488139097,0.4618325931791058,0.0014169990271747934,30000.000000000047,1.2460781312893876,0.32714992076903554
166,4,LiRhO2,0.21221740855155607,0.0013346493592982414,0.2915121177523875,0.0005968733387034818,29883.200000000048,9.377737036703397,2.824274978501613
166,4,LiScS2,0.2710251258105266,0.0020931828457297144,0.3666576811657873,0.0009360998264776193,30000.000000000047,3.567738677138037,0.8947963259839725
166,4,Sr2ClN,0.2500289363660055,0.00278070680626619,0.3176249160336134,0.0012435698888615078,30000.000000000047,1.6129487602993953,0.531436294594272
166,4,Sr2HN,0.26160097687832184,0.002586805441676296,0.3691918081689857,0.001156854562430913,30000.000000000047,2.816140238069457,0.7287986015325879
166,4,Sr2IN,0.2548381569244215,0.0027773557728372374,0.3344599862411735,0.0012420712611531052,28589.600000000042,1.4237829241614286,0.4840245619584553
186,2,AgI,0.8536355281869025,0.04404376212322537,2.2258854126775147,0.019696969218472478,30000.000000000047,0.22668299771267658,0.042874242664831544
186,2,CdS,0.2918693226991465,0.005654008772209425,0.4385853498873129,0.0025285495920080794,30000.000000000047,0.8061789192244557,0.19273952100443492
186,2,CdSe,0.3154869587577496,0.007866566370099175,0.4521362467398402,0.003518035430611105,30000.000000000047,0.889886046876263,0.2832706875387825
186,2,MgTe,0.27446464220587086,0.007958538651155284,0.40563350374124857,0.0035591666851085397,30000.000000000047,0.5780080530954795,0.21082292367218733
186,2,ZnO,0.2640269909313891,0.010072267203887363,0.3771052155632226,0.0045044548310867755,8138.4000000000115,2.989661812136119,1.2409023181333159
186,2,ZnS,,,,,,,
186,2,ZnSe,,,,,,,
216,2,AlAs,0.17867054516565592,0.0045435653125344136,0.2437775331517722,0.002031944179807405,15021.60000000002,0.44144645413139677,0.16155519189535852
216,2,CdS,0.286103209048319,0.006029209807289971,0.3924054397117835,0.0026963445959417563,12950.40000000002,0.3403013723914361,0.07961108926886475
216,2,CdTe,0.32058645182660966,0.004947671738932277,0.4578277771919931,0.002212666067721433,8136.800000000012,0.49809299900677556,0.13687321184301213
216,2,CuBr,4.712503506606659,0.5801390383716034,6.603785430576747,0.2594460652400528,11552.800000000014,0.2906703273238127,0.141889164071338
