,reference,deformed
2.5,7.26335523128018e-201,4.916915412688396e-152
2.5044088176352703,4.129578134639047e-198,1.0383665187523468e-149
2.508817635270541,2.2470224532753775e-195,2.102933962985268e-147
2.5132264529058115,1.1701524822089023e-192,4.084300688127396e-145
2.5176352705410823,5.831910173882533e-190,7.607237805327253e-143
2.5220440881763526,2.781714254508908e-187,1.358793918688468e-140
2.5264529058116234,1.26983568643619e-184,2.3275425145268518e-138
2.5308617234468938,5.547736971904326e-182,3.8234832481973306e-136
2.5352705410821645,2.319623601490313e-179,6.02335449273939e-134
2.539679358717435,9.282233695332278e-177,9.09987538490471e-132
2.5440881763527052,3.5548460755271476e-174,1.3184097029689463e-129
2.548496993987976,1.3029340266403945e-171,1.8318225507381351e-127
2.5529058116232464,4.570433295498283e-169,2.440813659156475e-125
2.557314629258517,1.5343542744785374e-166,3.1189198789301096e-123
2.5617234468937875,4.929776660028234e-164,3.822014634452318e-121
2.5661322645290583,1.5158707243984158e-161,4.491580415006834e-119
2.5705410821643286,4.460981394137698e-159,5.062032181857499e-117
2.5749498997995994,1.2564117335777654e-156,5.4710376588479375e-115
2.5793587174348698,3.386623216658597e-154,5.670662338440949e-113
2.58376753507014,8.736452210788425e-152,5.636601927732464e-111
2.588176352705411,2.156933011027748e-149,5.373047231797126e-109
2.5925851703406813,5.096494229414218e-147,4.911836509601083e-107
2.596993987975952,1.152496845277974e-144,4.3061320728512665e-105
2.6014028056112224,2.4942574812610986e-142,3.62035574428971e-103
2.605811623246493,5.1662587347242765e-140,2.919012005735044e-101
2.6102204408817635,1.0241046865206344e-137,2.257051848359008e-99
2.614629258517034,1.9428795979412304e-135,1.6736649232714312e-97
2.6190380761523047,3.5276115563992266e-133,1.1901923007180279e-95
2.623446893787575,6.12983750143726e-131,8.116854086153466e-94
2.627855711422846,1.0194137915654679e-128,5.3086082253955635e-92
2.632264529058116,1.6225025491411047e-126,3.3296326376102013e-90
2.636673346693387,2.4714601533825863e-124,2.0027883874359817e-88
2.6410821643286573,3.6029246733819254e-122,1.1553067840932745e-86
2.645490981963928,5.0267825533677646e-120,6.391216549790069e-85
2.6498997995991984,6.7120991922863865e-118,3.390737358768779e-83
2.6543086172344688,8.577485374607455e-116,1.7251611247239547e-81
2.6587174348697395,1.0490470422656878e-113,8.417644449386191e-80
2.66312625250501,1.2279008564349433e-111,3.938922468402393e-78
2.6675350701402807,1.3755139736765519e-109,1.767627678155164e-76
2.671943887775551,1.4746877815665624e-107,7.607312496325131e-75
2.676352705410822,1.5131031439716249e-105,3.1397816844041147e-73
2.680761523046092,1.485834260409528e-103,1.2427851095892506e-71
2.685170340681363,1.396386341624918e-101,4.717606616977702e-70
2.6895791583166333,1.25595538917065e-99,1.7174228513255696e-68
2.6939879759519036,1.0811258245965888e-97,5.99602393931089e-67
2.6983967935871744,8.906594589557563e-96,2.007617195049413e-65
2.702805611222445,7.022318998096296e-94,6.446600357050267e-64
2.7072144288577156,5.2988650783456746e-92,1.9852435528627526e-62
2.711623246492986,3.8266489288473165e-90,5.863150053121621e-61
2.7160320641282567,2.6447696034710917e-88,1.6606702617412268e-59
2.720440881763527,1.7494057581419254e-86,4.510992098013739e-58
2.7248496993987974,1.1074567096395041e-84,1.1751630163145158e-56
2.729258517034068,6.709597776972679e-83,2.9360453017503222e-55
2.7336673346693385,3.8904492667578556e-81,7.035050860409509e-54
2.7380761523046093,2.1589202211941362e-79,1.6166385065902901e-52
