,reference,deformed
2.5,7.26335523128018e-201,9.852056378063626e-161
2.5044088176352703,4.129578134639047e-198,2.4755584775540948e-158
2.508817635270541,2.2470224532753775e-195,5.963526552076071e-156
2.5132264529058115,1.1701524822089023e-192,1.3772627589181883e-153
2.5176352705410823,5.831910173882533e-190,3.04939824053283e-151
2.5220440881763526,2.781714254508908e-187,6.47284482949215e-149
2.5264529058116234,1.26983568643619e-184,1.3172250260050082e-146
2.5308617234468938,5.547736971904326e-182,2.5698542674509986e-144
2.5352705410821645,2.319623601490313e-179,4.80663100918191e-142
2.539679358717435,9.282233695332278e-177,8.618999579745785e-140
2.5440881763527052,3.5548460755271476e-174,1.4816879425405418e-137
2.548496993987976,1.3029340266403945e-171,2.441970829318015e-135
2.5529058116232464,4.570433295498283e-169,3.858407232973158e-133
2.557314629258517,1.5343542744785374e-166,5.844664031717338e-131
2.5617234468937875,4.929776660028234e-164,8.487796755259944e-129
2.5661322645290583,1.5158707243984158e-161,1.1817193846789405e-126
2.5705410821643286,4.460981394137698e-159,1.5773125400945503e-124
2.5749498997995994,1.2564117335777654e-156,2.0183905527964404e-122
2.5793587174348698,3.386623216658597e-154,2.4761488807119134e-120
2.58376753507014,8.736452210788425e-152,2.9122754846355427e-118
2.588176352705411,2.156933011027748e-149,3.2837672276113925e-116
2.5925851703406813,5.096494229414218e-147,3.549740005514821e-114
2.596993987975952,1.152496845277974e-144,3.6787905693022895e-112
2.6014028056112224,2.4942574812610986e-142,3.6550893353503455e-110
2.605811623246493,5.1662587347242765e-140,3.481572317465123e-108
2.6102204408817635,1.0241046865206344e-137,3.1793433039646774e-106
2.614629258517034,1.9428795979412304e-135,2.7834543707920928e-104
2.6190380761523047,3.5276115563992266e-133,2.3362298458890994e-102
2.623446893787575,6.12983750143726e-131,1.8798877763454868e-100
2.627855711422846,1.0194137915654679e-128,1.4502180260608549e-98
2.632264529058116,1.6225025491411047e-126,1.072555635060281e-96
2.636673346693387,2.4714601533825863e-124,7.604867677625837e-95
2.6410821643286573,3.6029246733819254e-122,5.169504999670191e-93
2.645490981963928,5.0267825533677646e-120,3.3689293167384866e-91
2.6498997995991984,6.7120991922863865e-118,2.1048476815906262e-89
2.6543086172344688,8.577485374607455e-116,1.2607689167268879e-87
2.6587174348697395,1.0490470422656878e-113,7.239967033403892e-86
2.66312625250501,1.2279008564349433e-111,3.9858799283852382e-84
2.6675350701402807,1.3755139736765519e-109,2.1037718387723236e-82
2.671943887775551,1.4746877815665624e-107,1.064535541643588e-80
2.676352705410822,1.5131031439716249e-105,5.164272206201385e-79
2.680761523046092,1.485834260409528e-103,2.40184996910754e-77
2.685170340681363,1.396386341624918e-101,1.0709539792587078e-75
2.6895791583166333,1.25595538917065e-99,4.578090291968014e-74
2.6939879759519036,1.0811258245965888e-97,1.8762339067719038e-72
2.6983967935871744,8.906594589557563e-96,7.371896022219417e-71
2.702805611222445,7.022318998096296e-94,2.776908552161855e-69
2.7072144288577156,5.2988650783456746e-92,1.0028471055486184e-67
2.711623246492986,3.8266489288473165e-90,3.472156687429528e-66
2.7160320641282567,2.6447696034710917e-88,1.1525402028019177e-64
2.720440881763527,1.7494057581419254e-86,3.667801592041862e-63
2.7248496993987974,1.1074567096395041e-84,1.1190498945271223e-61
2.729258517034068,6.709597776972679e-83,3.2733157195210116e-60
2.7336673346693385,3.8904492667578556e-81,9.179567669900062e-59
2.7380761523046093,2.1589202211941362e-79,2.468048003730942e-57
2.7424849699398797,1.1465870364087532e-77,6.361847989594528e-56
2.7468937875751505,5.827886517286891e-76,1.5722176665037767e-54
2.751302605210421,2.8349722094173805e-74,3.725145804447045e-53
2.7557114228456916,1.319836771254659e-72,8.462072975818024e-52
2.760120240480962,5.880650679970228e-71,1.8429560112376379e-50
2.7645290581162323,2.5076350336653004e-69,3.848219949445634e-49
2.768937875751503,1.0233804469934089e-67,7.703954555385462e-48
2.7733466933867734,3.997088825378608e-66,1.4786958405105464e-46
2.777755511022044,1.4941164487257297e-64,2.721184197712493e-45
2.7821643286573146,5.345140547272458e-63,4.801245028247855e-44
2.7865731462925853,1.8300709462821765e-61,8.12212766903205e-43
2.7909819639278557,5.996680731514616e-60,1.3173744624301098e-41
2.7953907815631265,1.8805644882650045e-58,2.048688682227559e-40
2.799799599198397,5.644168193896225e-57,3.0547394680349146e-39
2.804208416833667,1.6212358486041354e-55,4.367253976274854e-38
2.808617234468938,4.456840791026136e-54,5.986649258345827e-37
2.8130260521042083,1.172581031586903e-52,7.868750733388486e-36
2.817434869739479,2.952525103262052e-51,9.91700233611584e-35
2.8218436873747494,7.115075456205209e-50,1.1984345707049237e-33
2.8262525050100202,1.6409706235367805e-48,1.388720341232422e-32
2.8306613226452906,3.6220773339624387e-47,1.5430847918533884e-31
2.8350701402805614,7.651569079611025e-46,1.644175024672223e-30
2.8394789579158317,1.5469612912948687e-44,1.679960760562736e-29
2.843887775551102,2.9932629205518736e-43,1.6460899073341548e-28
2.848296593186373,5.543028527604695e-42,1.5467594449145407e-27
2.852705410821643,9.823959939336456e-41,1.3938607454250766e-26
2.857114228456914,1.66634034427452e-39,1.204639632776427e-25
2.8615230460921843,2.70507292774901e-38,9.985069920441536e-25
2.865931863727455,4.20274391458678e-37,7.938121340139892e-24
2.8703406813627255,6.249224953525512e-36,6.053060219353634e-23
2.8747494989979963,8.89322611605743e-35,4.4273363971645095e-22
2.8791583166332666,1.2112483466105768e-33,3.1062880321262627e-21
2.883567134268537,1.5788779816991517e-32,2.0907202704367915e-20
2.8879759519038077,1.969728468194642e-31,1.3499899605107106e-19
2.892384769539078,2.351839027493511e-30,8.3632131510199e-19
2.896793587174349,2.687530428981282e-29,4.971114873939769e-18
2.901202404809619,2.9393073905584675e-28,2.8353387739525246e-17
2.90561122244489,3.0766906707098524e-27,1.551893251113417e-16
2.9100200400801604,3.082275260521991e-26,8.151968792139321e-16
2.914428857715431,2.955353810582929e-25,4.110058357022828e-15
2.9188376753507015,2.712063939357096e-24,1.9891267532699682e-14
2.923246492985972,2.382017049627079e-23,9.241731778901163e-14
2.9276553106212426,2.002380722466807e-22,4.1226029995907887e-13
2.932064128256513,1.611045852899071e-21,1.7659208120818126e-12
2.9364729458917838,1.2405991979338312e-20,7.264577202663766e-12
2.940881763527054,9.143672212866113e-20,2.8704522254664626e-11
2.945290581162325,6.450285212498527e-19,1.0895727462990195e-10
2.9496993987975952,4.35522151803521e-18,3.97371519749612e-10
2.954108216432866,2.8146151021831605e-17,1.3926566600754552e-09
2.9585170340681364,1.741045232396454e-16,4.691091391641265e-09
2.9629258517034067,1.0308339987388428e-15,1.519026313703776e-08
2.9673346693386775,5.841992406834288e-15,4.72934034739957e-08
2.971743486973948,3.169081317645268e-14,1.4160060699383842e-07
2.9761523046092186,1.645557942061841e-13,4.078000911819864e-07
2.980561122244489,8.179154226419193e-13,1.1298959331402995e-06
2.9849699398797593,3.8915973284508596e-12,3.0125384787396503e-06
2.98937875751503,1.7724804388708467e-11,7.730841835448265e-06
2.993787575150301,7.728226417976823e-11,1.9099459164790877e-05
2.9981963927855713,3.22578135515055e-10,4.5437972306212125e-05
3.0026052104208416,1.2890203893017672e-09,0.00010411850387207476
3.0070140280561124,4.931383545146763e-09,0.0002298584169838823
3.0114228456913827,1.8062492913696973e-08,0.0004890294172792048
3.0158316633266535,6.334375735396725e-08,0.001002947167560569
3.020240480961924,2.1269934027945113e-07,0.0019834723191205486
3.0246492985971942,6.838886810111116e-07,0.0037838051987198204
3.029058116232465,2.1056410228093664e-06,0.006965497613064383
3.033466933867736,6.208514108699333e-06,0.012378949947576053
3.037875751503006,1.75316364850327e-05,0.021248990610729795
3.0422845691382765,4.741525945789658e-05,0.03525041257693237
3.0466933867735473,0.0001228306511511436,0.056552585540800546
3.0511022044088176,0.00030480579417755066,0.08781047544321934
3.0555110220440884,0.0007246119770584463,0.13208473918043287
3.0599198396793588,0.0016504220155116414,0.1926878327313909
3.064328657314629,0.003601943456922799,0.2729750285777378
3.0687374749499,0.007533219362970734,0.3761234693596072
3.0731462925851707,0.015100126076271902,0.5049597584274352
3.077555110220441,0.029013289950143663,0.6618968012075331
3.0819639278557114,0.053443763171703004,0.8490164360365562
3.086372745490982,0.09439663770363955,1.0682861415877707
3.0907815631262525,0.1599049887614788,1.3218361805379855
3.0951903807615233,0.25984461145079407,1.612167241027875
3.0995991983967937,0.4051626577366669,1.9421308276357407
3.104008016032064,0.6063865613772927,2.314543682330636
3.108416833667335,0.8714530363195442,2.731369392307971
3.112825651302605,1.203151339186836,3.1925143302083265
3.117234468937876,1.5967400093121722,3.6944147614949667
3.1216432865731463,2.038460740507993,4.228701807446841
3.126052104208417,2.505624619521792,4.781286371854813
3.1304609218436874,2.9686300485281953,5.332183901931535
3.134869739478958,3.394741336750793,5.856294707020533
3.1392785571142285,3.75288078763832,6.325186612193399
3.143687374749499,4.018295459873726,6.709727773627268
3.1480961923847697,4.175942637544475,6.98323225100931
3.15250501002004,4.22184169343126,7.124650929252752
3.156913827655311,4.162321840849326,7.121294958016161
3.161322645290581,4.011773081571247,6.970629392814512
3.165731462925852,3.789889498698209,6.680813710396816
3.1701402805611223,3.5193241262878656,6.269869824507963
3.174549098196393,3.224215243640098,5.7635917407090105
3.1789579158316634,2.929444413897188,5.192531181731259
3.1833667334669338,2.6600534750107596,4.588555691945235
3.1877755511022046,2.4401869663684685,3.981541932890202
3.192184368737475,2.2912434200762704,3.396717047727506
3.1965931863727457,2.2294268158210557,2.853002842639943
3.201002004008016,2.2633162655470755,2.362489336550165
3.2054108216432864,2.3922033238456644,1.9309259616748786
3.209819639278557,2.6057293395745735,1.558933318821055
3.214228456913828,2.88491418442722,1.2435502288491078
3.2186372745490983,3.2042298991745275,0.9797508090558475
3.2230460921843687,3.534147275871012,0.7616707415126487
3.2274549098196395,3.8436538053879112,0.5834247244338758
3.23186372745491,4.102527189456381,0.439529235467345
3.2362725450901806,4.28345376009661,0.3250315459649804
3.240681362725451,4.3642060726264145,0.23547585703297924
3.2450901803607213,4.329950768414808,0.16682014509571275
3.249498997995992,4.175424673619207,0.1153744464044236
3.253907815631263,3.9063981340904617,0.07778544542032212
3.258316633266533,3.539755631093789,0.05105884511086795
3.2627254509018035,3.1017682799721227,0.03259567955023767
3.2671342685370743,2.6246396319392473,0.020218935885537824
3.2715430861723447,2.1419637448843987,0.012175937433815913
3.2759519038076155,1.6841004982638392,0.00711308607107035
3.280360721442886,1.2744955150279142,0.004028172776682748
3.284769539078156,0.9276556528146005,0.002209754459547602
3.289178356713427,0.648980766598333,0.0011734404792781618
3.2935871743486977,0.43615211696124845,0.0006027761862003301
3.297995991983968,0.2814544872416612,0.00029931457902526595
3.3024048096192384,0.17433181446408239,0.00014357506956170772
3.3068136272545092,0.10361033036405945,6.648425540532346e-05
3.3112224448897796,0.059070080654146775,2.970066116002949e-05
3.3156312625250504,0.03229734965722888,1.2792413689519876e-05
3.3200400801603207,0.016932113052763393,5.309144442578175e-06
3.324448897795591,0.008509841637052946,2.122001718983715e-06
3.328857715430862,0.004099472424525094,8.163897938025671e-07
3.3332665330661326,0.001892641281703567,3.0218998660892053e-07
3.337675350701403,0.0008373105468190224,1.0757509141973081e-07
3.3420841683366733,0.0003549214794722298,3.68153526578487e-08
3.346492985971944,0.00014413179844084998,1.2108360166645809e-08
