,reference,deformed
3.0555110220440884,0.0007246119770584463,0.10412385711248924
3.0599198396793588,0.0016504220155116414,0.1617618492394507
3.064328657314629,0.003601943456922799,0.24415297931343016
3.0687374749499,0.007533219362970734,0.3580825162591843
3.0731462925851707,0.015100126076271902,0.5104092618170227
3.077555110220441,0.029013289950143663,0.7072355462284075
3.0819639278557114,0.053443763171703004,0.9528950036315079
3.086372745490982,0.09439663770363955,1.248904860581774
3.0907815631262525,0.1599049887614788,1.5930894264557127
3.0951903807615233,0.25984461145079407,1.9791009379639286
3.0995991983967937,0.4051626577366669,2.3965235132168656
3.104008016032064,0.6063865613772927,2.8316423257617016
3.108416833667335,0.8714530363195442,3.268811308066711
3.112825651302605,1.203151339186836,3.6921961397095187
3.117234468937876,1.5967400093121722,4.08755151743176
3.1216432865731463,2.038460740507993,4.443653550415856
3.126052104208417,2.505624619521792,4.753070438572031
3.1304609218436874,2.9686300485281953,5.01210982806486
3.134869739478958,3.394741336750793,5.219993401449868
3.1392785571142285,3.75288078763832,5.37752213237806
3.143687374749499,4.018295459873726,5.4856470745599
3.1480961923847697,4.175942637544475,5.5443996791130274
3.15250501002004,4.22184169343126,5.55253916378807
3.156913827655311,4.162321840849326,5.508057904770434
3.161322645290581,4.011773081571247,5.409405030361797
3.165731462925852,3.789889498698209,5.257028221132781
3.1701402805611223,3.5193241262878656,5.054684163463879
3.174549098196393,3.224215243640098,4.809993371718618
3.1789579158316634,2.929444413897188,4.533925878072476
3.1833667334669338,2.6600534750107596,4.239245251368943
3.1877755511022046,2.4401869663684685,3.9382995434359316
3.192184368737475,2.2912434200762704,3.6407997724314933
3.1965931863727457,2.2294268158210557,3.3522694561113555
3.201002004008016,2.2633162655470755,3.0736545781204976
3.2054108216432864,2.3922033238456644,2.8022133764439214
3.209819639278557,2.6057293395745735,2.533390419461161
3.214228456913828,2.88491418442722,2.26306998399551
3.2186372745490983,3.2042298991745275,1.9895091590092908
3.2230460921843687,3.534147275871012,1.7143960955001427
3.2274549098196395,3.8436538053879112,1.4427965249273784
3.23186372745491,4.102527189456381,1.1821157138333869
3.2362725450901806,4.28345376009661,0.9404825268186104
3.240681362725451,4.3642060726264145,0.7250734795537698
3.2450901803607213,4.329950768414808,0.5408269283044641
3.249498997995992,4.175424673619207,0.38980565003103645
3.253907815631263,3.9063981340904617,0.2712375067112191
3.258316633266533,3.539755631093789,0.18207954499382348
3.2627254509018035,3.1017682799721227,0.11785703045890505
3.2671342685370743,2.6246396319392473,0.07352946627093986
3.2715430861723447,2.1419637448843987,0.04420261514240891
3.2759519038076155,1.6841004982638392,0.025598410121383676
3.280360721442886,1.2744955150279142,0.01427823079617885
3.284769539078156,0.9276556528146005,0.00766943871138287
3.289178356713427,0.648980766598333,0.003966620012822765
3.2935871743486977,0.43615211696124845,0.0019751069219191906
3.297995991983968,0.2814544872416612,0.0009467195398009337
3.3024048096192384,0.17433181446408239,0.00043677855108603734
3.3068136272545092,0.10361033036405945,0.0001939360902661978
3.3112224448897796,0.059070080654146775,8.286295017273275e-05
3.3156312625250504,0.03229734965722888,3.406529733561216e-05
3.3200400801603207,0.016932113052763393,1.3472807531368682e-05
3.324448897795591,0.008509841637052946,5.125554301819983e-06
3.328857715430862,0.004099472424525094,1.8754345393495003e-06
3.3332665330661326,0.001892641281703567,6.599059333428365e-07
3.337675350701403,0.0008373105468190224,2.232654432362062e-07
3.3420841683366733,0.0003549214794722298,7.262073525043128e-08
3.346492985971944,0.00014413179844084998,2.2705975144307965e-08
3.3509018036072145,5.6069627793910425e-05,6.823412068003962e-09
3.3553106212424852,2.089287383098441e-05,1.970551004289299e-09
3.3597194388777556,7.456533951236539e-06,5.468177529299454e-10
3.364128256513026,2.548665544265066e-06,1.4578483060564492e-10
3.3685370741482967,8.342519352420363e-07,3.7337462973441634e-11
3.3729458917835675,2.6149546196974304e-07,9.185230983362362e-12
3.377354709418838,7.848560307637162e-08,2.1702036857065213e-12
3.381763527054108,2.255553997407825e-08,4.924143615275764e-13
3.386172344689379,6.206321463989428e-09,1.0728469156513934e-13
3.3905811623246493,1.6349908403983803e-09,2.2443006796311474e-14
3.39498997995992,4.12363536769255e-10,4.5073607325264026e-15
3.3993987975951905,9.956682782454074e-11,8.690117277623603e-16
3.403807615230461,2.301506110719388e-11,1.6082637998718811e-16
3.4082164328657316,5.0949128459670835e-12,2.856838538099283e-17
3.412625250501002,1.0913853546614073e-12,4.8705875136688826e-18
3.4170340681362728,2.8478071006166965e-13,7.969236069278294e-19
3.421442885771543,3.7195614888597594e-13,1.2513131413106931e-19
3.425851703406814,1.5809059013194533e-12,1.8854078852363863e-20
3.4302605210420842,7.18828449548497e-12,2.725914888296665e-21
3.434669338677355,3.142560815063786e-11,3.7815174427036777e-22
3.4390781563126254,1.3150846888971465e-10,5.033236928112301e-23
3.4434869739478957,5.266961210838075e-10,6.427439809083017e-24
3.4478957915831665,2.0188309665907037e-09,7.874467467918633e-25
3.452304609218437,7.405819461690263e-09,9.255101504176132e-26
3.4567134268537076,2.6000374556671765e-08,1.0435261417754577e-26
3.461122244488978,8.736136450720123e-08,1.1286880770900538e-27
3.4655310621242488,2.809263869166562e-07,1.1710628228213837e-28
